exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.7,11,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,11,1.0,0.35,1.9992576234778643,2.008401032263711,0.35,3.0,5.0,0.2
1,S1,0.7,11,2.0,0.35,1.9990462441818124,1.9970317635320596,0.35,3.0,5.0,0.2
1,S1,0.7,11,3.0,0.2,1.9449703154100673,1.9465145865758768,0.35,3.0,5.0,0.2
1,S1,0.7,11,4.0,0.2,0.9231180080355952,0.9345839508704098,0.35,3.0,5.0,0.2
1,S1,0.7,11,5.0,0.2,0.6186233410609887,0.6308882335450785,0.35,3.0,5.0,0.2
1,S1,0.7,11,6.0,0.35,1.3083540996514522,1.3008167963398984,0.35,3.0,5.0,0.2
1,S1,0.7,11,7.0,0.35,1.6058594317932429,1.5757524300531052,0.35,3.0,5.0,0.2
1,S1,0.7,11,8.0,0.35,1.7514871281482294,1.7423639928017813,0.35,3.0,5.0,0.2
1,S1,0.7,11,9.0,0.35,1.8305147798041146,1.8251380784917255,0.35,3.0,5.0,0.2
1,S1,0.7,11,10.0,0.35,1.8774290504326,1.8684190045215234,0.35,3.0,5.0,0.2
1,S1,0.7,11,11.0,0.35,1.90730300193543,1.8935250073163008,0.35,3.0,5.0,0.2
1,S1,0.7,11,12.0,0.35,1.9274001416421445,1.9200984547611848,0.35,3.0,5.0,0.2
1,S1,0.7,11,13.0,0.35,1.9415255289631626,1.9352877891125004,0.35,3.0,5.0,0.2
1,S1,0.7,11,14.0,0.35,1.9518135455195593,1.9373670349880425,0.35,3.0,5.0,0.2
1,S1,0.7,11,15.0,0.35,1.9595305867333521,1.9648175585652625,0.35,3.0,5.0,0.2
1,S1,0.7,11,16.0,0.35,1.9654639524475739,1.9789700518996354,0.35,3.0,5.0,0.2
1,S1,0.7,11,17.0,0.35,1.9701227286240504,1.974907747718792,0.35,3.0,5.0,0.2
1,S1,0.7,11,18.0,0.35,1.9738473320389072,1.975510455966154,0.35,3.0,5.0,0.2
1,S1,0.7,11,19.0,0.35,1.9768720750200264,1.9762077013410257,0.35,3.0,5.0,0.2
1,S1,0.7,11,20.0,0.35,1.9793623518484058,1.97861938764779,0.35,3.0,5.0,0.2
1,S1,0.7,12,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,12,1.0,0.35,1.9992576234778643,2.004468747052568,0.35,3.0,5.0,0.2
1,S1,0.7,12,2.0,0.35,1.9990462441818124,2.0189420438728605,0.35,3.0,5.0,0.2
1,S1,0.7,12,3.0,0.2,1.9449703154100673,1.940272877444555,0.35,3.0,5.0,0.2
1,S1,0.7,12,4.0,0.2,0.9231180080355952,0.9067112294862484,0.35,3.0,5.0,0.2
1,S1,0.7,12,5.0,0.2,0.6186233410609887,0.62505219333974,0.35,3.0,5.0,0.2
1,S1,0.7,12,6.0,0.35,1.3083540996514522,1.3321963725656967,0.35,3.0,5.0,0.2
1,S1,0.7,12,7.0,0.35,1.6058594317932429,1.6162296868312218,0.35,3.0,5.0,0.2
1,S1,0.7,12,8.0,0.35,1.7514871281482294,1.7721220150960932,0.35,3.0,5.0,0.2
1,S1,0.7,12,9.0,0.35,1.8305147798041146,1.8397953514792678,0.35,3.0,5.0,0.2
1,S1,0.7,12,10.0,0.35,1.8774290504326,1.8883162830619569,0.35,3.0,5.0,0.2
1,S1,0.7,12,11.0,0.35,1.90730300193543,1.920737577229181,0.35,3.0,5.0,0.2
1,S1,0.7,12,12.0,0.35,1.9274001416421445,1.93619964418693,0.35,3.0,5.0,0.2
1,S1,0.7,12,13.0,0.35,1.9415255289631626,1.9535560356544195,0.35,3.0,5.0,0.2
1,S1,0.7,12,14.0,0.35,1.9518135455195593,1.9433204304811313,0.35,3.0,5.0,0.2
1,S1,0.7,12,15.0,0.35,1.9595305867333521,1.951011362278231,0.35,3.0,5.0,0.2
1,S1,0.7,12,16.0,0.35,1.9654639524475739,1.9605545816062084,0.35,3.0,5.0,0.2
1,S1,0.7,12,17.0,0.35,1.9701227286240504,1.9620177691528715,0.35,3.0,5.0,0.2
1,S1,0.7,12,18.0,0.35,1.9738473320389072,1.9570783544998613,0.35,3.0,5.0,0.2
1,S1,0.7,12,19.0,0.35,1.9768720750200264,1.9725913318882062,0.35,3.0,5.0,0.2
1,S1,0.7,12,20.0,0.35,1.9793623518484058,1.9683634217107253,0.35,3.0,5.0,0.2
1,S1,0.7,13,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,13,1.0,0.35,1.9992576234778643,1.9887565704873935,0.35,3.0,5.0,0.2
1,S1,0.7,13,2.0,0.35,1.9990462441818124,2.003391331561111,0.35,3.0,5.0,0.2
1,S1,0.7,13,3.0,0.2,1.9449703154100673,1.9450730110867605,0.35,3.0,5.0,0.2
1,S1,0.7,13,4.0,0.2,0.9231180080355952,0.9145765115531009,0.35,3.0,5.0,0.2
1,S1,0.7,13,5.0,0.2,0.6186233410609887,0.6156134237534118,0.35,3.0,5.0,0.2
1,S1,0.7,13,6.0,0.35,1.3083540996514522,1.333249802498162,0.35,3.0,5.0,0.2
1,S1,0.7,13,7.0,0.35,1.6058594317932429,1.606547050965042,0.35,3.0,5.0,0.2
1,S1,0.7,13,8.0,0.35,1.7514871281482294,1.7552892348829223,0.35,3.0,5.0,0.2
1,S1,0.7,13,9.0,0.35,1.8305147798041146,1.8366465329136012,0.35,3.0,5.0,0.2
1,S1,0.7,13,10.0,0.35,1.8774290504326,1.8864578250148214,0.35,3.0,5.0,0.2
1,S1,0.7,13,11.0,0.35,1.90730300193543,1.9097269301049746,0.35,3.0,5.0,0.2
