run,b,ic,t,x,sigma
13,0.2,0.0531938268203712,1.4,5.7488877359702,0.01
13,0.2,0.0531938268203712,1.41,5.74670973760843,0.01
13,0.2,0.0531938268203712,1.42,5.74866571036109,0.01
13,0.2,0.0531938268203712,1.43,5.748041994649,0.01
13,0.2,0.0531938268203712,1.44,5.74706807579057,0.01
13,0.2,0.0531938268203712,1.45,5.7479328810864,0.01
13,0.2,0.0531938268203712,1.46,5.7487019163291,0.01
13,0.2,0.0531938268203712,1.47,5.74599312638588,0.01
13,0.2,0.0531938268203712,1.48,5.746749394856,0.01
13,0.2,0.0531938268203712,1.49,5.74743792610089,0.01
13,0.2,0.0531938268203712,1.5,5.74869213940037,0.01
13,0.2,0.0531938268203712,1.51,5.74880131123024,0.01
13,0.2,0.0531938268203712,1.52,5.74876928963871,0.01
13,0.2,0.0531938268203712,1.53,5.7481720809447,0.01
13,0.2,0.0531938268203712,1.54,5.74704508656867,0.01
13,0.2,0.0531938268203712,1.55,5.74653232526691,0.01
13,0.2,0.0531938268203712,1.56,5.74713421017266,0.01
13,0.2,0.0531938268203712,1.57,5.7475512843424,0.01
13,0.2,0.0531938268203712,1.58,5.74902876564813,0.01
13,0.2,0.0531938268203712,1.59,5.7473779682295,0.01
13,0.2,0.0531938268203712,1.6,5.74592645734263,0.01
13,0.2,0.0531938268203712,1.61,5.74658113408548,0.01
13,0.2,0.0531938268203712,1.62,5.74670654032255,0.01
13,0.2,0.0531938268203712,1.63,5.74778605252875,0.01
13,0.2,0.0531938268203712,1.64,5.74778145990015,0.01
13,0.2,0.0531938268203712,1.65,5.74730697140987,0.01
13,0.2,0.0531938268203712,1.66,5.74769838489288,0.01
13,0.2,0.0531938268203712,1.67,5.74962417915624,0.01
13,0.2,0.0531938268203712,1.68,5.74941848076565,0.01
13,0.2,0.0531938268203712,1.69,5.74862991274011,0.01
13,0.2,0.0531938268203712,1.7,5.74783020455378,0.01
13,0.2,0.0531938268203712,1.71,5.74909500103335,0.01
13,0.2,0.0531938268203712,1.72,5.74941115144352,0.01
13,0.2,0.0531938268203712,1.73,5.74936787552898,0.01
13,0.2,0.0531938268203712,1.74,5.74690934194284,0.01
13,0.2,0.0531938268203712,1.75,5.74749016196768,0.01
13,0.2,0.0531938268203712,1.76,5.74955402309315,0.01
13,0.2,0.0531938268203712,1.77,5.74808294322656,0.01
13,0.2,0.0531938268203712,1.78,5.74936905294182,0.01
13,0.2,0.0531938268203712,1.79,5.75034680892812,0.01
13,0.2,0.0531938268203712,1.8,5.74827265620217,0.01
13,0.2,0.0531938268203712,1.81,5.74663734474089,0.01
13,0.2,0.0531938268203712,1.82,5.74476027349807,0.01
13,0.2,0.0531938268203712,1.83,5.74585709464704,0.01
13,0.2,0.0531938268203712,1.84,5.74811849220319,0.01
13,0.2,0.0531938268203712,1.85,5.74915290459171,0.01
13,0.2,0.0531938268203712,1.86,5.74634763499546,0.01
13,0.2,0.0531938268203712,1.87,5.74677008669054,0.01
13,0.2,0.0531938268203712,1.88,5.74738561387163,0.01
13,0.2,0.0531938268203712,1.89,5.74727561947331,0.01
13,0.2,0.0531938268203712,1.9,5.74756285389856,0.01
13,0.2,0.0531938268203712,1.91,5.74816573708944,0.01
